ggap,Ibg_init,Ikir_coef,cm,dx,K_o,Output
19.509349034289674,0.5278952005015249,0.9827581654556361,10.049538811879582,0.05763480205990258,1.5283650020902435,-30.033528277489257
7.340570689570563,0.47544777357995516,0.8076637069716913,8.64884256202486,0.03622887528669505,5.4364305766429695,-71.57967334980127
20.355476869690595,1.4557259886676153,0.8467257482478615,10.060005899694824,0.08561846592192711,4.200868227207744,-30.492347142061224
33.81519830912689,0.31101468370355023,1.0042056432892321,8.507790446409889,0.07207199407224572,4.942018135450768,-78.81857036110857
27.499480590462003,0.43793853206268063,1.1000878907261629,9.186889089534006,0.017446595530539614,3.928721825520648,
13.774886299975947,1.372245334457679,0.8077645157651774,9.942522289343266,0.07374046610700025,4.1596676371271055,-30.479857304073207
21.938863041341033,0.2526121610804325,0.9478074973215564,8.154002715509721,0.05183112072849289,4.821807961937875,-80.25223528415462
19.630820371109937,0.5907378602388221,0.9076137292539816,9.63796265516265,0.03185323337219883,7.6620727307097445,
9.172455969719486,0.5397976270304778,1.0187716306043944,10.843486134341909,0.07003184802994061,2.7508110058539117,-30.32570543707675
25.979111100516597,0.1396241937092538,1.0074057819977893,8.260477476935055,0.025475569272912182,7.4890531872714385,
3.2519273129813198,0.3917227282260819,1.1721480507446111,9.337603758449069,0.07028577986792162,6.357909288831744,-73.63015078243792
32.190337146308714,0.6329436139854316,0.9483872362024244,8.967183573151733,0.08179652260896021,7.712988109160111,-65.47749032060355
25.893423217919278,0.8397716816997147,1.1556863894681335,8.14446826158466,0.030986116439878038,1.6764108253937933,
30.760567149026173,0.8223738893298955,0.9035949489512426,9.55366178343245,0.034253593670449035,4.261624147644028,
20.636686493099276,1.062365846380102,0.8328511703168248,8.293501028676042,0.053304195351840944,7.8998620759380875,-57.94037412749197
34.51134517775723,0.4834702995649399,0.9836283350019954,10.162844979510743,0.060875493798566375,6.897415098264289,-69.66364059097599
11.465087536771517,1.1875395081147668,1.1732887997448436,10.306542568668009,0.023018099189775373,6.385659446957458,
2.1140649091612107,0.40932573151090346,1.0684757520283603,10.784390292672231,0.045646426983089045,4.460281895763855,-34.60908055881349
14.884228541105044,0.14286637481235054,0.8450149320788631,10.464474424049278,0.08104103021750399,1.5989360443449936,-30.225002854449016
23.45015875635556,0.7288297825852813,1.0097478620831934,10.027895615653646,0.08836391732790663,1.5167597168863036,-30.02420743599135
17.61143588015544,1.284719824982652,1.1149826730084995,9.208345882602684,0.05328957304453842,6.812113544194577,-59.89205323839778
1.6522274647300577,0.41304508177938193,0.8783562502863249,10.282574569843813,0.014376106070874526,2.136859099633347,-30.13853460008231
18.39502359144036,0.755640044114359,1.09797447197704,8.978949168438954,0.01778619264626519,5.046229160184033,
23.73400731324241,0.5308057861933914,0.9268876722742886,9.296438954192359,0.024201055958827142,6.337463727177187,
14.004161725769832,0.38801862651025065,0.967787813586413,9.566844604643673,0.04780731011764334,7.084486233225451,-70.53125492028772
21.58154631406994,1.0519109903088812,0.8030162988739775,8.790335214187701,0.0844566416338034,1.190084859168068,-30.005264354456532
21.570456993954725,0.5932945107638864,0.920233002360215,10.129222546693443,0.016423016454554445,2.171600844520086,
14.273548096544664,1.1871359618478325,0.8078340283974567,9.237563041167814,0.04240525225616533,3.2193720193698145,-30.208062128677017
27.25083296676523,1.3059040680669793,1.1438480271174456,8.005159463809246,0.03547068793416683,7.870468204892702,
