Time (ms),Membrane Potential (mV),Intracellular Ca2+ (mM),ATP,I_Kir61 (pA),I_TRPC1 (pA),I_CaCC (pA),I_CaL (pA),I_leak (pA),d_inf,f_inf
0.0,-70.00000000000001,9.999999999999999e-05,4.4,0.27210259314002433,-0.020227265693451558,-0.008876224936988546,-6.593526801455086e-06,0.04733672448730229,0.00033107962676738205,0.9845734939016659
0.1000100010001,-70.00729270299036,1.6559858668507963,4.4,0.27228639060419324,-0.02022799496375059,-0.2308328762388223,-6.586156074398652e-06,0.04732213908132161,0.0003306930471107515,0.9845870456745742
0.2000200020002,-70.01459118412511,3.229123299491993,4.4,0.2724703698050681,-0.020228724811864066,-0.23088398111497976,-6.57878766803197e-06,0.0473075421190521,0.00033030661293034774,0.9846005968262966
0.3000300030003,-70.02190227016283,4.723752621122402,4.4,0.2726547028091461,-0.020229455920467838,-0.23093516166548833,-6.5714147121516395e-06,0.047292919946976666,0.0003299199639472993,0.9846141599982824
0.4000400040004,-70.02922592085828,6.143598887685734,4.4,0.2728393886289396,-0.020230188285537385,-0.23098642827774765,-6.5640372806745845e-06,0.04727827264558576,0.00032953310409808504,0.9846277350661672
0.5000500050005,-70.03656214421798,7.492358820093394,4.4,0.27302442749170625,-0.020230921907873352,-0.23103778234229788,-6.556655398802504e-06,0.04726360019886636,0.00032914603476404326,0.9846413219951498
0.6000600060006,-70.0439109652225,8.773446778086974,4.4,0.27320982005148686,-0.020231656789973806,-0.2310892243677103,-6.549269074711456e-06,0.04724890255685733,0.0003287587564336485,0.9846549207817629
0.7000700070007,-70.05127240932215,9.990195179180173,4.4,0.2733955669730221,-0.02023239293438377,-0.2311407546479705,-6.541878316207647e-06,0.04723417966865802,0.00032837126957599975,0.984668531423238
0.8000800080008,-70.0586465020242,11.145727214177917,4.4,0.27358166892132746,-0.020233130343653975,-0.2311923734106105,-6.534483131143775e-06,0.047219431483253915,0.0003279835746626533,0.9846821539167392
0.9000900090009001,-70.06603326892969,12.243032659538045,4.4,0.2737681265626104,-0.020233869020344523,-0.23124408085852502,-6.527083527382401e-06,0.047204657949442945,0.0003275956721657011,0.9846957882594313
1.000100010001,-70.07343273566228,13.284976949866225,4.4,0.2739549405624596,-0.020234608967017783,-0.2312958771837061,-6.519679512867521e-06,0.04718985901597776,0.0003272075625615226,0.9847094344483475
1.1001100110011,-70.08084492783856,14.274315456034087,4.4,0.27414211158507784,-0.02023535018623541,-0.2313477625727182,-6.512271095654353e-06,0.04717503463162521,0.00032681924633234526,0.984723092480334
1.2001200120012,-70.08826987110683,15.213612118920494,4.4,0.27432964029424733,-0.02023609268056224,-0.23139973720950854,-6.504858283870457e-06,0.04716018474508866,0.0003264307239642044,0.9847367623521224
1.3001300130013,-70.09570759114716,16.10523944941154,4.4,0.2745175273533133,-0.02023683645256627,-0.23145180127664933,-6.497441085715883e-06,0.047145309305008,0.00032604199594694997,0.9847504440603283
1.4001400140014,-70.10315811368514,16.95141736264589,4.4,0.2747057734255172,-0.02023758150482007,-0.23150395495608558,-6.490019509449464e-06,0.04713040825993204,0.0003256530627735273,0.9847641376014779
1.5001500150015001,-70.11062146462072,17.75457808216366,4.4,0.2748943791772368,-0.020238327839913625,-0.2315561984304036,-6.4825935632609675e-06,0.047115481558060876,0.0003252639249332774,0.9847778429722415
