Time (ms),Membrane Potential (mV),Intracellular Ca2+ (mM),ATP,I_Kir61 (pA),I_TRPC1 (pA),I_CaCC (pA),I_CaL (pA),d_inf,f_inf
0.0,-70.0,0.00010000000000000002,4.4,0.45350432190004003,-0.0,-6.592448606327368e-06,-1.2065762270263868e-07,6.669028232799232e-05,0.9845734939016659
0.1000100010001,-70.04825401262859,0.03109634378793773,4.4,0.45553233539226373,-0.0,-0.0019331911766227552,-1.1977055696509057e-07,6.617658827492001e-05,0.9846629520739391
0.2000200020002,-70.0965317395875,0.06155632162275522,4.4,0.45756391444570843,-0.0,-0.00362453827120433,-1.1888951232605435e-07,6.566660124236177e-05,0.9847519593644183
0.3000300030003,-70.14485496804316,0.09148650333713965,4.4,0.45959990406652096,-0.0,-0.0051217664893621504,-1.1801405885137602e-07,6.516006903493008e-05,0.9848405574885661
0.4000400040004,-70.19323030224449,0.12089196923770747,4.4,0.46164051156785385,-0.0,-0.006456884023411291,-1.1714405032512439e-07,6.465690393979361e-05,0.9849287596673927
0.5000500050005,-70.2416740956658,0.14977959467412036,4.4,0.4636863561021616,-0.0,-0.00765529835650709,-1.1627917064676185e-07,6.415692020270357e-05,0.9850165964837893
0.6000600060006,-70.290205567222,0.17815641014370484,4.4,0.46573817959807773,-0.0,-0.008737381626434693,-1.154190616761324e-07,6.365990809742281e-05,0.9851041030173747
0.7000700070007,-70.33884393582787,0.2060294461437875,4.4,0.46779672577967146,-0.0,-0.009719655150233463,-1.1456337519614432e-07,6.31656639842242e-05,0.9851913135833831
0.8000800080008,-70.38760842039832,0.23340573317169488,4.4,0.4698627398338335,-0.0,-0.010615659099036633,-1.137117727838257e-07,6.267399022255384e-05,0.9852782617390351
0.9000900090009001,-70.43651823984816,0.2602923017247537,4.4,0.47193696806910124,-0.0,-0.011436596674735254,-1.1286392569141188e-07,6.218469509001982e-05,0.9853649802891781
1.000100010001,-70.48557993694735,0.2866948307316114,4.4,0.474019619218252,-0.0,-0.012191777027868354,-1.1201973204294948e-07,6.169771803433181e-05,0.9854514790054939
1.1001100110011,-70.53478127243305,0.3126169965241099,4.4,0.4761101021332044,-0.0,-0.01288897486357921,-1.1117941255661223e-07,6.121318457385658e-05,0.9855377345866817
1.2001200120012,-70.58412982383265,0.3380645883598412,4.4,0.4782086643574182,-0.0,-0.0135348391535952,-1.103428467161639e-07,6.073102337662179e-05,0.9856237586847679
1.3001300130013,-70.63363382012373,0.363043464955986,4.4,0.4803155796877727,-0.0,-0.014135043460997048,-1.0950990660629141e-07,6.0251158968377974e-05,0.9857095637981536
1.4001400140014,-70.68330149028398,0.3875594850297252,4.4,0.48243112034481056,-0.0,-0.014694457210392472,-1.0868046812036319e-07,5.977351819461085e-05,0.9857951621217652
1.5001500150015001,-70.73314106329103,0.41161850729823996,4.4,0.4845555567776646,-0.0,-0.015217283509264514,-1.0785441091854754e-07,5.9298030191856e-05,0.9858805655489008
1.6001600160016,-70.78316028548336,0.4352263269113395,4.4,0.4866891368686177,-0.0,-0.015707168115720555,-1.0703162629631879e-07,5.882463090946837e-05,0.9859657848530617
1.7001700170017,-70.83335726771965,0.45838746995043705,4.4,0.48883169486808103,-0.0,-0.016167262300828055,-1.0621216569661743e-07,5.835334848807673e-05,0.9860508142540033
1.8001800180018002,-70.88373327256383,0.4811068776012923,4.4,0.49098319627363046,-0.0,-0.016600335828106105,-1.0539602833759607e-07,5.7884181001370444e-05,0.9861356533634429
1.9001900190019,-70.93429265964535,0.5033898989575235,4.4,0.4931437358356547,-0.0,-0.017008834019969468,-1.0458316404007051e-07,5.741709814556669e-05,0.9862203069396257
2.000200020002,-70.98503978859364,0.5252418831127494,4.4,0.4953134053515368,-0.0,-0.017394916925392506,-1.0377352434539537e-07,5.6952070655028255e-05,0.9863047795964469
2.1002100210021,-71.03597901903812,0.5466681791605882,4.4,0.49749229351651975,-0.0,-0.017760499836656965,-1.0296706249541817e-07,5.648907028871318e-05,0.9863890758043571
2.2002200220022,-71.08711471060823,0.5676741361946586,4.4,0.49968048577023955,-0.0,-0.01810728709396698,-1.0216373341264815e-07,5.6028069816780754e-05,0.986473199891256
2.3002300230023,-71.13844977101806,0.5882647346219514,4.4,0.5018780019760699,-0.0,-0.018436794346715992,-1.0136351622523613e-07,5.556905593636276e-05,0.9865571536759378
2.4002400240024,-71.1899840919295,0.6084441889796793,4.4,0.5040847291845061,-0.0,-0.018750366935682324,-1.0056643746742436e-07,5.511204254056381e-05,0.9866409340039611
2.5002500250025,-71.2417203467317,0.628217420172396,4.4,0.5063006697063008,-0.0,-0.01904922467958513,-9.977248062449969e-08,5.465701882965977e-05,0.9867245422355057
2.6002600260026,-71.29366137535189,0.6475893913939106,4.4,0.508525829105423,-0.0,-0.019334467234312838,-9.898162746525878e-08,5.4203973037625465e-05,0.9868079799229008
2.7002700270027002,-71.34581001771738,0.6665650658380315,4.4,0.5107602089338884,-0.0,-0.01960708802738356,-9.819386063563836e-08,5.3752893919138476e-05,0.9868912485380841
2.8002800280028,-71.39816911375546,0.6851494066985675,4.4,0.5130038065910695,-0.0,-0.01986798683313517,-9.74091636462445e-08,5.330377074138284e-05,0.9869743494732255
2.9002900290029,-71.45074141732269,0.7033473369081985,4.4,0.5152566114913615,-0.0,-0.02011798007598595,-9.662752213449799e-08,5.285659400491587e-05,0.9870572839059878
3.0003000300030003,-71.50352682617186,0.721162443405947,4.4,0.5175184862247332,-0.0,-0.0203577936458083,-9.584896449436678e-08,5.2411378669832344e-05,0.9871400484742746
3.1003100310031,-71.55652624012296,0.7385987818656962,4.4,0.5197893317793123,-0.0,-0.020588095583078017,-9.507350395860456e-08,5.196813100354405e-05,0.9872226414074377
3.2003200320032,-71.60974182412681,0.7556609997489253,4.4,0.5220690986952258,-0.0,-0.020809503760123513,-9.430113538473533e-08,5.152684676404598e-05,0.9873050628847757
3.3003300330033003,-71.66317574313425,0.7723537445171135,4.4,0.5243577327147595,-0.0,-0.021022584060288795,-9.353185413071203e-08,5.108752200042887e-05,0.9873873130342014
3.4003400340034,-71.71683016209606,0.7886816636317396,4.4,0.5266551746421996,-0.0,-0.021227855765310045,-9.27656560455281e-08,5.065015304689044e-05,0.9874693919327707
3.5003500350035,-71.77070724596307,0.8046494045542829,4.4,0.5289613602008375,-0.0,-0.021425796287915185,-9.200253745983204e-08,5.021473651676047e-05,0.9875512996072138
3.6003600360036003,-71.8248091596861,0.8202616147462223,4.4,0.5312762198871126,-0.0,-0.02161684534071718,-9.124249517654683e-08,4.978126929654053e-05,0.987633036034472
3.7003700370037,-71.87913806821597,0.8355229416690367,4.4,0.533599678821865,-0.0,-0.021801408618279516,-9.048552646149277e-08,4.9349748539957765e-05,0.9877146011422346
3.8003800380038,-71.93369613650347,0.8504380327842055,4.4,0.5359316565986847,-0.0,-0.021979861057480794,-8.97316290340128e-08,4.892017166203209e-05,0.9877959948094833
3.9003900390039004,-71.98848552949946,0.8650115355532075,4.4,0.5382720671293331,-0.0,-0.02215254973153681,-8.898080105759868e-08,4.8492536333155706e-05,0.9878772168670374
4.000400040004,-72.04350841215472,0.8792480974375217,4.4,0.5406208184862161,-0.0,-0.022319796424887635,-8.82330411305227e-08,4.8066840473187944e-05,0.9879582670981039
