Time (ms),Membrane Potential (mV),Intracellular Ca2+ (mM),ATP
0.0,-69.99999999999999,0.0001,0.49999999999999994
0.1000100010001,-68.64050515333652,95.53478796349422,0.4955242140976499
0.2000200020002,-67.29809353245221,213.07419219359025,0.49109739891863513
0.3000300030003,-65.99852529294834,356.77338868717277,0.4867190150545148
0.4000400040004,-64.74088767498739,531.2335666015131,0.4823885325237313
0.5000500050005,-63.52413878165086,741.6136908370892,0.4781054250857761
0.6000600060006,-62.347173764614205,993.4186850423221,0.473869201000565
0.7000700070007,-61.20873608762023,1293.1191637630234,0.4696793140726824
0.8000800080008,-60.10764882436926,1647.5524542259102,0.4655352626074891
0.9000900090009001,-59.04274908016493,2063.8714728649625,0.4614365498711546
1.000100010001,-58.012888866515475,2550.0104778722625,0.4573826805614991
1.1001100110011,-57.0169464090297,3114.309416608685,0.45337316408637685
1.2001200120012,-56.053823231450515,3765.481312736214,0.4494075143594171
1.3001300130013,-55.122461402820036,4512.644148830882,0.4454852520103738
1.4001400140014,-54.22182178522742,5365.283984229428,0.4416059016355073
1.5001500150015001,-53.35089701886051,6333.429212548605,0.43776899415937504
1.6001600160016,-52.50871141907637,7427.045511801861,0.4339740651938822
1.7001700170017,-51.69431958660141,8655.809127064753,0.4302206542342868
1.8001800180018002,-50.906812913312336,10030.168155133062,0.4265083084227738
1.9001900190019,-50.14531517532816,11560.786753815848,0.4228365806326747
2.000200020002,-49.40895994555724,13257.10137532755,0.419205025106747
2.1002100210021,-48.696911989113055,15128.687320513565,0.41561320158475074
2.2002200220022,-48.008368655679774,17185.3476711282,0.4120606755720614
2.3002300230023,-47.34255256557721,19436.429486935805,0.4085470172615063
2.4002400240024,-46.69870599850707,21890.08705133791,0.4050718010320972
2.5002500250025,-46.07610139064929,24554.660134051654,0.40163460638676235
2.6002600260026,-45.474037632452784,27438.195976942487,0.39823501762409164
2.7002700270027002,-44.89183070285212,30547.645572220794,0.3948726231320135
2.8002800280028,-44.32881900721132,33889.315587626224,0.3915470157884759
2.9002900290029,-43.7843677022481,37469.234526546876,0.388257793286088
3.0003000300030003,-43.25786218065978,41292.76106958484,0.3850045576517535
3.1003100310031,-42.74869502907127,45364.04785029337,0.38178691429857653
3.2003200320032,-42.25628986603219,49687.02155496483,0.37860447375876916
3.3003300330033003,-41.78009407524199,54265.08414902155,0.37545685115539207
3.4003400340034,-41.31957726472389,59101.04952591314,0.37234366609034386
3.5003500350035,-40.874231266824765,64197.14350711646,0.36926454264436104
3.6003600360036003,-40.44355753271015,69554.88658309756,0.36621910845309646
3.7003700370037,-40.02704534773145,75174.89126811468,0.36320699311041404
3.8003800380038,-39.62422438781101,81057.35099067414,0.3602278320205112
3.9003900390039004,-39.23464444316705,87201.85147939,0.357281264911769
4.000400040004,-38.857873702313334,93607.35480039172,0.35436693571097716
4.1004100410041,-38.49349875205919,100272.1993573241,0.3514844925433344
4.2004200420042,-38.141109339013035,107194.71942658511,0.34863358651230103
4.3004300430043,-37.80028945626116,114373.60753668366,0.34581387098590827
4.4004400440044,-37.47065686776667,121806.30756706609,0.34302500476148
4.5004500450045,-37.15184493323694,129489.75367502143,0.3402666506103486
4.6004600460046,-36.84350214536251,137420.38910966506,0.3375384752408015
4.7004700470047,-36.54529212981706,145594.16621193892,0.33484014929808115
4.8004800480048,-36.25687644620386,154007.70592613384,0.33217134581149316
4.9004900490049,-35.97791786764113,162658.07669952512,0.32953174049051814
5.000500050005,-35.70810539479768,171541.10810687073,0.3269210139833133
5.1005100510051005,-35.4471404517499,180652.32148667538,0.32433885063034507
5.2005200520052,-35.19473686998496,189986.93101964562,0.32178493846294487
5.3005300530053,-34.95062076737025,199539.85214591204,0.3192589691911048
5.4005400540054005,-34.71451227614197,209306.9723149225,0.316760636361065
5.5005500550055,-34.48613844345597,219284.25380049009,0.31428963665610815
5.6005600560056,-34.26524561991842,229466.87212494086,0.31184567114572725
5.7005700570057005,-34.051590272354865,239849.85499657053,0.3094284443592532
5.8005800580058,-33.84493898381037,250428.08230964438,0.3070376642858556
5.9005900590059,-33.645068556303286,261196.3311085156,0.3046730426538263
6.0006000600060005,-33.451767969091435,272150.54256620194,0.3023343024076989
6.1006100610061,-33.264828951673664,283286.2402009499,0.3000211654492929
6.2006200620062,-33.08404222714079,294598.44258232665,0.29773335060583156
6.300630063006301,-32.909198518583594,306082.16827989934,0.2954705767045379
6.4006400640064,-32.7400885490929,317732.4358632347,0.2932325625726352
6.5006500650065,-32.576503041759494,329544.26390189986,0.2910190270373466
6.600660066006601,-32.41823271967418,341512.67096546205,0.2888296889258953
6.7006700670067,-32.26510535646444,353633.1483410379,0.2866642855624569
6.8006800680068,-32.11703290058057,365902.26127902773,0.28452259629428733
6.900690069006901,-31.97384835833152,378315.56782888406,0.2824043610579041
7.000700070007,-31.83537913994476,390868.5546412035,0.2803093169960604
7.1007100710071,-31.701452655647742,403556.70836658275,0.2782372012515094
7.200720072007201,-31.57189631566794,416375.5156556187,0.2761877509670045
7.3007300730073,-31.446537530232796,429320.4631589075,0.27416070328529885
7.4007400740074,-31.325206725031677,442387.0832708113,0.27215579695195763
7.500750075007501,-31.20783999343877,455572.511336726,0.2701728268782057
7.6007600760076,-31.094347949089805,468873.49618110503,0.2682115744319949
7.7007700770077,-30.98459733043025,482286.12105328584,0.2662717976602491
7.800780078007801,-30.878454875905554,495806.469202606,0.2643532546098923
7.9007900790079,-30.77578732396118,509430.6238784024,0.26245570332784834
8.000800080008,-30.676461413042574,523154.6683300126,0.2605789018610414
