x,fitted_y
60.0,0.7866278617500482
79.39393939393939,0.7279115347091816
98.78787878787878,0.6735779752116613
118.18181818181819,0.6233000399856398
137.57575757575756,0.5767750047409422
156.96969696969697,0.5337227414610438
176.36363636363637,0.49388403174759066
195.75757575757575,0.45701900606208073
215.15151515151516,0.42290569946735496
234.54545454545456,0.3913387151729925
253.93939393939394,0.36212798783779515
273.33333333333337,0.3350976391831841
292.72727272727275,0.3100849190271389
312.1212121212121,0.2869392253626251
331.5151515151515,0.26552119758038734
350.90909090909093,0.24570187737638663
370.3030303030303,0.22736193229169177
389.6969696969697,0.21039093720974503
409.0909090909091,0.19468670948488578
428.4848484848485,0.1801546936989295
447.8787878787879,0.16670739234141077
467.2727272727273,0.15426383898560725
486.6666666666667,0.14274911078832833
506.06060606060606,0.132093877378221
525.4545454545455,0.12223398341644284
544.8484848484849,0.11311006231629211
564.2424242424242,0.10466717879599478
583.6363636363636,0.09685449811245286
603.030303030303,0.08962497998440465
622.4242424242425,0.08293509536210328
641.8181818181819,0.07674456433817922
661.2121212121212,0.07101611362164308
680.6060606060606,0.06571525211477632
700.0,0.060810063241654166
719.3939393939394,40.0
738.7878787878788,40.0
758.1818181818182,40.0
777.5757575757576,40.0
796.969696969697,40.0
816.3636363636364,40.0
835.7575757575758,40.0
855.1515151515151,40.0
874.5454545454546,40.0
893.939393939394,40.0
913.3333333333334,40.0
932.7272727272727,40.0
952.1212121212121,40.0
971.5151515151515,40.0
990.909090909091,40.0
1010.3030303030304,40.0
1029.6969696969697,40.0
1049.090909090909,40.0
1068.4848484848485,40.0
1087.878787878788,40.0
1107.2727272727273,40.0
1126.6666666666667,40.0
1146.060606060606,40.0
1165.4545454545455,40.0
1184.848484848485,40.0
1204.2424242424242,40.0
1223.6363636363637,40.0
1243.030303030303,40.0
1262.4242424242425,40.0
1281.8181818181818,40.0
1301.2121212121212,40.0
1320.6060606060607,40.0
1340.0,40.0
1359.3939393939395,40.0
1378.7878787878788,40.0
1398.1818181818182,40.0
1417.5757575757575,40.0
1436.969696969697,40.0
1456.3636363636365,40.0
1475.7575757575758,40.0
1495.1515151515152,40.0
1514.5454545454545,40.0
1533.939393939394,40.0
1553.3333333333335,40.0
1572.7272727272727,40.0
1592.1212121212122,40.0
1611.5151515151515,40.0
1630.909090909091,40.0
1650.3030303030303,40.0
1669.6969696969697,40.0
1689.0909090909092,40.0
1708.4848484848485,40.0
1727.878787878788,40.0
1747.2727272727273,40.0
1766.6666666666667,40.0
1786.060606060606,40.0
1805.4545454545455,40.0
1824.848484848485,40.0
1844.2424242424242,40.0
1863.6363636363637,40.0
1883.030303030303,40.0
1902.4242424242425,40.0
1921.818181818182,40.0
1941.2121212121212,40.0
1960.6060606060607,40.0
1980.0,40.0
